0:0:30 - 0:0:31: I'm sorry.
0:0:31 - 0:0:32: No worries.
0:0:32 - 0:0:33: Bye.
0:59:43 - 0:59:45: equipment 110
0:59:45 - 0:59:47: and subsequent
0:59:47 - 0:59:49: following the purchase assignment.
0:59:49 - 0:59:51: That commitment was fulfilled.
0:59:53 - 0:59:55: Following the formalization
0:59:55 - 0:59:57: of the contract of Acta 6
0:59:57 - 0:59:59: design of the Sturmbach line.
0:59:59 - 1:0:1: Those are the follow-ups.
1:0:5 - 1:0:7: That is the sub-supply.
1:0:7 - 1:0:9: I understood now that
1:0:9 - 1:0:11: the only pending
1:0:11 - 1:0:13: is the formalization.
1:0:13 - 1:0:15: Yes.
1:0:15 - 1:0:17: It is still pending.
1:0:17 - 1:0:19: It is still a follow-up.
1:0:21 - 1:0:23: A follow-up meeting
1:0:23 - 1:0:25: to the process of slots with
1:0:25 - 1:0:27: Juan Sebastián, the real estate manager.
1:0:27 - 1:0:29: In that meeting,
1:0:29 - 1:0:31: what is pending is the phase
1:0:31 - 1:0:33: with the expansion projects
1:0:33 - 1:0:35: with Daniel.
1:0:35 - 1:0:37: This follow-up,
1:0:37 - 1:0:39: do you have any date estimated?
1:0:41 - 1:0:43: We have said that it was before.
1:0:43 - 1:0:45: No, it was only pending
1:0:45 - 1:0:47: for the phase with you.
1:0:47 - 1:0:49: What is it?
1:0:49 - 1:0:51: A follow-up meeting
1:0:51 - 1:0:53: where the priority is
1:0:53 - 1:0:55: the importance
1:0:55 - 1:0:57: of the slots.
1:0:57 - 1:0:59: I think it was this Thursday.
1:0:59 - 1:1:1: Because on Fridays I have
1:1:1 - 1:1:3: the whole day.
1:1:3 - 1:1:5: I heard from Fabi that there was a meeting
1:1:5 - 1:1:7: with him on Friday.
1:1:7 - 1:1:9: I don't know if it was.
1:1:9 - 1:1:11: Let's see.
1:1:11 - 1:1:13: It is like 3 pm.
1:1:13 - 1:1:15: Friday is 3 pm.
1:1:15 - 1:1:17: Do you have that time?
1:1:17 - 1:1:19: Yes, I have the meeting every morning on Fridays.
1:1:19 - 1:1:21: I have it here on my computer.
1:1:23 - 1:1:25: If not, could you do it on Thursday?
1:1:29 - 1:1:31: I could do it
1:1:31 - 1:1:33: at 10 am.
1:1:33 - 1:1:35: Good afternoon.
1:1:35 - 1:1:37: Until 9 am on Friday.
1:1:37 - 1:1:39: I can't do it now.
1:1:39 - 1:1:41: Until 9 am.
1:1:43 - 1:1:45: Let's see.
1:1:45 - 1:1:47: We all agree.
1:1:47 - 1:1:49: Yes.
1:1:49 - 1:1:51: We agree.
1:1:51 - 1:1:53: Yes.
1:1:53 - 1:1:55: Update
1:1:55 - 1:1:57: MPA for project lines.
1:1:57 - 1:1:59: That is what
1:1:59 - 1:2:1: the update is about.
1:2:1 - 1:2:3: Finish
1:2:3 - 1:2:5: documentation and create
1:2:5 - 1:2:7: a contract extension
1:2:7 - 1:2:9: solution
1:2:9 - 1:2:11: which does not go to
1:2:11 - 1:2:13: the board of directors
1:2:13 - 1:2:15: for project replacement
1:2:15 - 1:2:17: of a boat.
1:2:17 - 1:2:19: That is what it is.
1:2:19 - 1:2:21: What is that?
1:2:21 - 1:2:23: Finish documentation
1:2:23 - 1:2:25: and create a contract extension
1:2:25 - 1:2:27: solution which does not go to
1:2:27 - 1:2:29: the board of directors.
1:2:29 - 1:2:31: That is what I was saying.
1:2:31 - 1:2:33: We are doing a presentation for the
1:2:33 - 1:2:35: project on Thursday.
1:2:35 - 1:2:37: We are going to inject 600 million
1:2:37 - 1:2:39: and hire 3,800.
1:2:39 - 1:2:41: I am doing all that management.
1:2:41 - 1:2:43: The idea is to reserve the project
1:2:43 - 1:2:45: today and present it.
1:2:45 - 1:2:47: That will never come down
1:2:47 - 1:2:49: because they are less than
1:2:49 - 1:2:51: 100,000.
1:2:55 - 1:2:57: Well, it is
1:2:57 - 1:2:59: finished.
1:2:59 - 1:3:1: Yes, presentation is ready.
1:3:1 - 1:3:3: Alberto gives him the move
1:3:3 - 1:3:5: and it comes out.
1:3:5 - 1:3:7: Presentation
1:3:7 - 1:3:9: for hiring committees
1:3:9 - 1:3:11: regarding the process
1:3:11 - 1:3:13: of control and protection
1:3:13 - 1:3:15: under the 2024
1:3:15 - 1:3:17: sub-station.
1:3:17 - 1:3:19: Sebas, how does
1:3:19 - 1:3:21: that presentation look?
1:3:31 - 1:3:33: Sebas is not listening.
1:3:33 - 1:3:35: Yes, yes, repeat it.
1:3:35 - 1:3:37: I did not understand you.
1:3:37 - 1:3:39: The process of new
1:3:39 - 1:3:41: sub-station?
1:3:41 - 1:3:43: Yes.
1:3:43 - 1:3:45: Presentation
1:3:45 - 1:3:47: for hiring committees
1:3:47 - 1:3:49: regarding the process
1:3:49 - 1:3:51: of control and protection
1:3:51 - 1:3:53: of new sub-station in 2024.
1:3:53 - 1:3:55: Yes, correct.
1:3:55 - 1:3:57: That one was presented on Friday,
1:3:57 - 1:3:59: March 22.
1:3:59 - 1:4:1: They approved it
1:4:1 - 1:4:3: and the Solpex was generated
1:4:3 - 1:4:5: and sent to buy
1:4:5 - 1:4:7: so that it would sign a buyer.
1:4:7 - 1:4:9: That one was very advanced.
1:4:11 - 1:4:13: That is on the
1:4:13 - 1:4:15: buying side.
1:4:15 - 1:4:17: We are waiting for Claudia to sign a buyer.
1:4:17 - 1:4:19: I sent the email
1:4:19 - 1:4:21: on the same day, March 22.
1:4:23 - 1:4:25: We approved it and we sent it
1:4:25 - 1:4:27: at once.
1:4:27 - 1:4:29: Here you have another
1:4:29 - 1:4:31: one, Sebas.
1:4:31 - 1:4:33: You have one that says
1:4:33 - 1:4:35: to send an email to Claudia and José Pertus
1:4:35 - 1:4:37: for hiring review
1:4:37 - 1:4:39: before presentation of the board
1:4:39 - 1:4:41: for the
1:4:41 - 1:4:43: process of protection renewal.
1:4:43 - 1:4:45: Well,
1:4:45 - 1:4:47: the issue was not sent
1:4:47 - 1:4:49: to do the hiring,
1:4:49 - 1:4:51: but this week
1:4:51 - 1:4:53: we did the presentation
1:4:53 - 1:4:55: and we are waiting for the board
1:4:55 - 1:4:57: to approve this week
1:4:57 - 1:4:59: that process.
1:4:59 - 1:5:1: We did not do the hiring
1:5:1 - 1:5:3: before the approval,
1:5:3 - 1:5:5: but with the Solpex
1:5:5 - 1:5:7: once approved,
1:5:7 - 1:5:9: this week
1:5:9 - 1:5:11: we will do that
1:5:11 - 1:5:13: activity.
1:5:15 - 1:5:17: Can this
1:5:17 - 1:5:19: commitment be fulfilled?
1:5:19 - 1:5:21: The final commitment
1:5:21 - 1:5:23: is to do the hiring,
1:5:23 - 1:5:25: but we have not done it.
1:5:25 - 1:5:27: We have not done the hiring
1:5:27 - 1:5:29: because we were going to do it before
1:5:29 - 1:5:31: the board meeting because we thought
1:5:31 - 1:5:33: it would be extended.
1:5:33 - 1:5:35: But it will be a board meeting
1:5:35 - 1:5:37: for approval. It is extraordinary.
1:5:37 - 1:5:39: That, without a doubt, I am not.
1:5:41 - 1:5:43: This week, and we are going
1:5:43 - 1:5:45: to wait this week for the project
1:5:45 - 1:5:47: to be approved to do the whole
1:5:47 - 1:5:49: normal procedure, that is, with
1:5:49 - 1:5:51: the Solpex and when the buyer is assigned,
1:5:51 - 1:5:53: we do the
1:5:53 - 1:5:55: hiring.
1:5:55 - 1:5:57: That is what we wanted to do,
1:5:57 - 1:5:59: but since the board meeting was
1:5:59 - 1:6:1: done this week,
1:6:1 - 1:6:3: we are going to take advantage of
1:6:3 - 1:6:5: the approval this week
1:6:5 - 1:6:7: and with that we would do the hiring.
1:6:11 - 1:6:13: And you have another one here
1:6:13 - 1:6:15: that is called finalization
1:6:15 - 1:6:17: of market studies for the
1:6:17 - 1:6:19: control and protection process
1:6:19 - 1:6:21: of the Tolujer substation.
1:6:21 - 1:6:23: That is the one that was asked this week
1:6:23 - 1:6:25: on Tuesday, the Holy Week,
1:6:25 - 1:6:27: which happened on the 26th. I met with them
1:6:27 - 1:6:29: and they asked me to give them
1:6:29 - 1:6:31: this additional week
1:6:31 - 1:6:33: to finish the market study.
1:6:37 - 1:6:39: Ok, well, that's the process.
1:6:39 - 1:6:41: Exactly.
1:6:41 - 1:6:43: Here we have one from Jose
1:6:43 - 1:6:45: that is to request a current construction license
1:6:45 - 1:6:47: for the new substation
1:6:47 - 1:6:49: for the Holy Week, issued by the investor.
1:6:51 - 1:6:53: Request what?
1:6:53 - 1:6:55: Request the current construction license.
1:6:55 - 1:6:57: I have to ask Alberto
1:6:57 - 1:6:59: because if they already got it out
1:6:59 - 1:7:1: yes.
1:7:1 - 1:7:3: That is, is it the one that the investor currently has?
1:7:3 - 1:7:5: That is what we have commented on.
1:7:5 - 1:7:7: That would be the one that
1:7:7 - 1:7:9: would be accepted by the investors.
1:7:9 - 1:7:11: Yes, yes,
1:7:11 - 1:7:13: accepted by the investor.
1:7:13 - 1:7:15: Ok.
1:7:15 - 1:7:17: And here we have
1:7:17 - 1:7:19: one from Jesus that says
1:7:19 - 1:7:21: response to
1:7:21 - 1:7:23: buyer observations in the
1:7:23 - 1:7:25: cable and power accessories process
1:7:25 - 1:7:27: in the Holy Week. Yes, that's already done.
1:7:27 - 1:7:29: We have received
1:7:29 - 1:7:31: more observations. We are waiting
1:7:31 - 1:7:33: for them to send us the request to
1:7:33 - 1:7:35: give them a good look.
1:7:37 - 1:7:39: Well, the guys have
1:7:39 - 1:7:41: some other commitment,
1:7:41 - 1:7:43: some topic to add.
1:7:57 - 1:7:59: I already sent them the activities,
1:7:59 - 1:8:1: the email where Alex was,
1:8:1 - 1:8:3: ready for them to check it out?
1:8:3 - 1:8:5: Ready, Fabio, thank you.
1:8:5 - 1:8:7: Well,
1:8:7 - 1:8:9: may it not give up.
1:8:9 - 1:8:11: Thank you.
1:8:11 - 1:8:13: Fabio, thank you.
1:8:13 - 1:8:15: How?
1:8:17 - 1:8:19: I don't regret this week
1:8:19 - 1:8:21: because I already know.
1:8:21 - 1:8:23: Amen.
1:8:23 - 1:8:25: Bye.
1:8:25 - 1:8:27: A hug for everyone.
1:8:27 - 1:8:29: Bye.
1:8:39 - 1:8:41: you
1:9:9 - 1:9:11: you
